record_id,airport_name,altitude_bin,aircraft_model,wildlife_number_struck_actual,effect_impact_to_flight,flight_date,effect_indicated_damage,aircraft_airline,origin_state,phase_of_flight,conditions_precipitation,conditions_sky,wildlife_species,pilot_warned_of_wildlife,total_cost,feet_above_ground
222749,BUSH FLD,< 1000 ft,CL-RJ100/200,1,none,2004-09-05,No damage,ATLANTIC SOUTHEAST,Georgia,Landing Roll,none,No Cloud,Unknown bird - small,N,0,0.0
224351,DANE COUNTY REGIONAL ARPT-TRUAX FLD,< 1000 ft,SAAB-340,1,none,2004-09-05,No damage,CHICAGO EXPRESS,Wisconsin,Landing Roll,none,Some Cloud,Unknown bird - small,N,0,0.0
228044,LEHIGH VALLEY INTL,< 1000 ft,DC-9-40,1,none,2004-09-05,No damage,ABX AIR,Pennsylvania,Take-off run,Rain,Overcast,Unknown bird - small,N,0,0.0
226423,MINETA SAN JOSE INTL,< 1000 ft,MD-82,1,none,2004-09-05,No damage,AMERICAN AIRLINES,California,Landing Roll,none,No Cloud,Rock pigeon,N,0,0.0
226916,KANSAS CITY INTL,> 1000 ft,B-737-700,1,none,2004-09-06,No damage,SOUTHWEST AIRLINES,Missouri,Approach,none,No Cloud,Unknown bird - small,Y,0,1200.0
227069,EPPLEY AIRFIELD,< 1000 ft,A-319,1,none,2004-09-06,No damage,AMERICA WEST AIRLINES,Nebraska,Approach,none,No Cloud,Unknown bird - small,N,0,200.0
232067,DALLAS LOVE FIELD ARPT,> 1000 ft,B-737-200,1,none,2004-09-06,No damage,SOUTHWEST AIRLINES,Texas,Climb,none,No Cloud,Unknown bird - medium,N,0,3500.0
231209,MANCHESTER AIRPORT,< 1000 ft,B-737-700,1,none,2004-09-07,No damage,SOUTHWEST AIRLINES,New Hampshire,Climb,none,Some Cloud,Unknown bird - medium,N,0,500.0
232108,TULSA INTL,< 1000 ft,B-737-300,1,none,2004-09-07,No damage,SOUTHWEST AIRLINES,Oklahoma,Landing Roll,none,Some Cloud,Unknown bird - medium,N,0,0.0
231111,SANTA MARIA PUBLIC,< 1000 ft,C-172,1,none,2004-09-07,No damage,PRIVATELY OWNED,California,Landing Roll,none,No Cloud,Unknown bird - small,N,0,0.0
230977,THEODORE FRANCIS GREEN STATE,< 1000 ft,B-737-700,1,none,2004-09-07,No damage,SOUTHWEST AIRLINES,Rhode Island,Landing Roll,none,No Cloud,Unknown bird - small,N,0,0.0
227605,NEW ORLEANS INTL,< 1000 ft,B-737-300,1,none,2004-09-07,No damage,SOUTHWEST AIRLINES,Louisiana,Approach,none,No Cloud,Unknown bird - large,Y,0,50.0
224488,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,A-320,1,none,2004-09-07,No damage,USA 3000,Florida,Climb,none,Some Cloud,Common nighthawk,Y,0,10.0
231229,ALBERT LEA MUNICIPAL ARPT,< 1000 ft,PA-28,1,Precautionary Landing,2004-09-07,Caused damage,BUSINESS,Minnesota,Approach,none,No Cloud,Canada goose,N,2405,500.0
226064,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,CL-RJ100/200,1,none,2004-09-07,No damage,COMAIR AIRLINES,Kentucky,Take-off run,none,Overcast,Unknown bird - small,Y,0,0.0
233279,CHICAGO O'HARE INTL ARPT,> 1000 ft,MD-83,1,none,2004-09-07,No damage,AMERICAN AIRLINES,Illinois,Climb,none,Some Cloud,Unknown bird - small,Y,0,3000.0
227840,PHOENIX DEER VALLEY ARPT,< 1000 ft,PA-44 SEMINOLE,1,Precautionary Landing,2004-09-08,No damage,PRIVATELY OWNED,Arizona,Climb,none,No Cloud,Unknown bird - small,N,0,100.0
228022,DES MOINES INTL,< 1000 ft,AVRO RJ 85,1,none,2004-09-08,No damage,MESABA AIRLINES,Iowa,Approach,none,No Cloud,Unknown bird - small,N,0,400.0
229191,BALTIMORE WASH INTL,< 1000 ft,B-737-400,1,none,2004-09-08,No damage,US AIRWAYS,Maryland,Take-off run,Rain,Overcast,Unknown bird - small,N,0,0.0
228510,YAKUTAT ARPT,< 1000 ft,B-737-200,1,none,2004-09-08,No damage,ALASKA AIRLINES,Alaska,Landing Roll,none,No Cloud,Unknown bird - medium,Y,0,0.0
228341,MBS INTL,< 1000 ft,C-310,1,Aborted Take-off,2004-09-08,No damage,BUSINESS,Michigan,Take-off run,none,Some Cloud,European starling,Y,0,0.0
228960,NORTHEAST PHILADELPHIA ARPT,< 1000 ft,BE-400 BJET,1,none,2004-09-08,No damage,BUSINESS,Pennsylvania,Landing Roll,none,Some Cloud,Unknown bird - medium,Y,1443,0.0
227839,WASHINGTON DULLES INTL ARPT,< 1000 ft,CL-RJ100/200,1,Precautionary Landing,2004-09-08,No damage,INDEPENDENCE AIR,DC,Climb,Rain,Overcast,Unknown bird - small,Y,0,700.0
